,symbol,full name,market,sector,sub-sector
449,MNIT,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี,SET,PROPCON,PF&REIT
450,MNIT2,กองทุนรวมอสังหาริมทรัพย์นิชดาธานี 2,SET,PROPCON,PF&REIT
451,MNRF,กองทุนรวมอสังหาริมทรัพย์มัลติเนชั่นแนลเรสซิเดนซ์ฟันด์,SET,PROPCON,PF&REIT
452,MODERN,บริษัท โมเดอร์นฟอร์มกรุ๊ป จำกัด (มหาชน),SET,CONSUMP,HOME
453,MONO,บริษัท โมโน เน็กซ์ จำกัด (มหาชน),SET,SERVICE,MEDIA
454,MOONG,บริษัท มุ่งพัฒนา อินเตอร์แนชชั่นแนล จำกัด (มหาชน),mai,CONSUMP,
455,MORE,บริษัท มอร์ รีเทิร์น จำกัด (มหาชน),mai,SERVICE,
456,MOSHI,บริษัท โมชิ โมชิ รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SET,SERVICE,COMM
457,M-PAT,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี ป่าตอง เฮอริเทจ,SET,PROPCON,PF&REIT
458,MSC,บริษัท เมโทรซิสเต็มส์คอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT
459,MST,บริษัทหลักทรัพย์ เมย์แบงก์ (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN
460,M-STOR,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-สแตรทิจิกสโตเรจฟันด์,SET,PROPCON,PF&REIT
461,MTC,บริษัท เมืองไทย แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN
462,MTI,บริษัท เมืองไทยประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR
463,MTW,บริษัท เมคทูวิน โฮลดิ้ง จำกัด (มหาชน),mai,INDUS,
464,MUD,บริษัท มัด แอนด์ ฮาวด์ จำกัด (มหาชน),mai,AGRO,
465,MVP,บริษัท เอ็ม วิชั่น จำกัด (มหาชน),mai,SERVICE,
466,NAM,บริษัท นำวิวัฒน์ เมดิคอล คอร์ปอเรชั่น จำกัด (มหาชน),SET,CONSUMP,PERSON
467,NAT,บริษัท แนท แอบโซลูท เทคโนโลยีส์ จำกัด (มหาชน),mai,TECH,
468,NATION,บริษัท เนชั่น กรุ๊ป (ไทยแลนด์) จำกัด (มหาชน),SET,SERVICE,MEDIA
469,NC,บริษัท นิวซิตี้ (กรุงเทพฯ) จำกัด (มหาชน),SET,CONSUMP,FASHION
470,NCAP,บริษัท เน็คซ์ แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN
471,NCH,บริษัท เอ็น. ซี. เฮ้าส์ซิ่ง จำกัด (มหาชน),SET,PROPCON,PROP
472,NCL,บริษัท เอ็นซีแอล อินเตอร์เนชั่นแนล โลจิสติกส์ จำกัด (มหาชน),mai,SERVICE,
473,NCP,บริษัท ไนซ์ คอล จำกัด (มหาชน),mai,SERVICE,
474,NDR,บริษัท เอ็น.ดี.รับเบอร์ จำกัด (มหาชน),mai,INDUS,
475,NEO,บริษัท นีโอ คอร์ปอเรท จำกัด (มหาชน),SET,CONSUMP,PERSON
476,NEP,บริษัท เอ็นอีพี อสังหาริมทรัพย์ และอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,PKG
477,NER,บริษัท นอร์ทอีส รับเบอร์ จำกัด (มหาชน),SET,AGRO,AGRI
478,NETBAY,บริษัท เน็ตเบย์ จำกัด (มหาชน),mai,TECH,
479,NEW,บริษัท วัฒนาการแพทย์ จำกัด (มหาชน),SET,SERVICE,HELTH
480,NEWS,บริษัท นิวส์ เน็ตเวิร์ค คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,
481,NEX,บริษัท เน็กซ์ พอยท์ จำกัด (มหาชน),SET,INDUS,AUTO
482,NFC,บริษัท เอ็นเอฟซี จำกัด (มหาชน),SET,INDUS,PETRO
483,NKI,บริษัท นวกิจประกันภัย จำกัด (มหาชน),SET,FINCIAL,INSUR
484,NL,บริษัท เอ็นแอล ดีเวลลอปเมนต์ จำกัด (มหาชน),SET,PROPCON,CONS
485,NNCL,บริษัท นวนคร จำกัด (มหาชน),SET,PROPCON,PROP
486,NOBLE,บริษัท โนเบิล ดีเวลลอปเมนท์ จำกัด (มหาชน),SET,PROPCON,PROP
487,NOK,บริษัท สายการบินนกแอร์ จำกัด (มหาชน),SET,SERVICE,TRANS
488,NOVA,บริษัท โนวา เอมไพร์ จำกัด (มหาชน),SET,RESOURC,ENERG
489,NPK,บริษัท นิวพลัสนิตติ้ง จำกัด (มหาชน),mai,CONSUMP,
490,NRF,บริษัท เอ็นอาร์ อินสแตนท์ โปรดิวซ์ จำกัด (มหาชน),SET,AGRO,FOOD
491,NSL,บริษัท เอ็นเอสแอล ฟู้ดส์ จำกัด (มหาชน),SET,AGRO,FOOD
492,NTSC,บริษัท นิวทรีชั่น เอสซี จำกัด (มหาชน),mai,AGRO,
493,NTV,บริษัท โรงพยาบาลนนทเวช จำกัด (มหาชน),SET,SERVICE,HELTH
494,NUSA,บริษัท ณุศาศิริ จำกัด (มหาชน),SET,PROPCON,PROP
495,NV,บริษัท โนวา ออร์แกนิค จำกัด (มหาชน),SET,CONSUMP,PERSON
496,NVD,บริษัท เนอวานา ดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP
497,NWR,บริษัทเนาวรัตน์พัฒนาการ จำกัด (มหาชน),SET,PROPCON,CONS
498,NYT,บริษัท นามยง เทอร์มินัล จำกัด (มหาชน),SET,SERVICE,TRANS
499,OCC,บริษัท โอ ซี ซี จำกัด (มหาชน),SET,CONSUMP,PERSON
500,OGC,บริษัท โอเชียนกลาส จำกัด (มหาชน),SET,CONSUMP,HOME
501,OHTL,บริษัท โอเอชทีแอล จำกัด (มหาชน),SET,SERVICE,TOURISM
502,ONEE,บริษัท เดอะ วัน เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
503,OR,บริษัท ปตท. น้ำมันและการค้าปลีก จำกัด (มหาชน),SET,RESOURC,ENERG
504,ORI,บริษัท ออริจิ้น พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP
505,ORN,บริษัท อรสิริน โฮลดิ้ง จํากัด (มหาชน),SET,PROPCON,PROP
506,OSP,บริษัท โอสถสภา จำกัด (มหาชน),SET,AGRO,FOOD
507,PACO,บริษัท เพรสซิเด้นท์ ออโตโมบิล อินดัสทรีส์ จำกัด (มหาชน),mai,INDUS,
508,PAF,บริษัท แพนเอเซียฟุตแวร์ จำกัด (มหาชน),SET,CONSUMP,FASHION
509,PANEL,บริษัท เพเนเล่ส์มาติก โซลูชั่นส์ จำกัด (มหาชน),mai,PROPCON,
510,PAP,บริษัท แปซิฟิกไพพ์ จำกัด (มหาชน),SET,INDUS,STEEL
511,PATO,บริษัท พาโตเคมีอุตสาหกรรม จำกัด (มหาชน),SET,INDUS,PETRO
512,PB,บริษัท เพรซิเดนท์ เบเกอรี่ จำกัด (มหาชน),SET,AGRO,FOOD
513,PCC,บริษัท พรีไซซ คอร์ปอเรชั่น จำกัด (มหาชน),SET,INDUS,IMM
514,PCE,บริษัท เพชรศรีวิชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,AGRO,AGRI
515,PCSGH,บริษัท พี.ซี.เอส.แมชีน กรุ๊ปโฮลดิ้ง จำกัด (มหาชน),SET,INDUS,AUTO
516,PDG,บริษัท พรอดดิจิ จำกัด (มหาชน),mai,INDUS,
517,PDJ,บริษัท แพรนด้า จิวเวลรี่ จำกัด (มหาชน),SET,CONSUMP,FASHION
518,PEACE,บริษัท พีซแอนด์ลีฟวิ่ง จำกัด (มหาชน),SET,PROPCON,PROP
519,PEER,บริษัท เพียร์ ฟอร์ ยู จำกัด (มหาชน),mai,SERVICE,
520,PERM,บริษัท เพิ่มสินสตีลเวิคส์ จำกัด (มหาชน),SET,INDUS,STEEL
521,PF,บริษัท พร็อพเพอร์ตี้ เพอร์เฟค จำกัด (มหาชน),SET,PROPCON,PROP
522,PG,บริษัท ประชาอาภรณ์ จำกัด (มหาชน),SET,CONSUMP,FASHION
523,PHG,บริษัท แพทย์รังสิตเฮลท์แคร์กรุ๊ป จำกัด (มหาชน),SET,SERVICE,HELTH
524,PHOL,บริษัท ผลธัญญะ จำกัด (มหาชน),mai,INDUS,
525,PICO,บริษัท ปิโก (ไทยแลนด์) จำกัด (มหาชน),mai,SERVICE,
526,PIMO,บริษัท ไพโอเนียร์ มอเตอร์ จำกัด (มหาชน),mai,INDUS,
527,PIN,บริษัท ปิ่นทอง อินดัสเตรียล ปาร์ค จำกัด (มหาชน),SET,PROPCON,PROP
528,PJW,บริษัท ปัญจวัฒนาพลาสติก จำกัด (มหาชน),SET,INDUS,PKG
529,PK,บริษัท พัฒน์กล จำกัด (มหาชน),SET,INDUS,IMM
530,PL,บริษัท ภัทรลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
531,PLANB,บริษัท แพลน บี มีเดีย จำกัด (มหาชน),SET,SERVICE,MEDIA
532,PLANET,บริษัท แพลนเน็ต คอมมิวนิเคชั่น เอเชีย จำกัด (มหาชน),mai,TECH,
533,PLAT,บริษัท เดอะ แพลทินัม กรุ๊ป จำกัด (มหาชน),SET,PROPCON,PROP
534,PLE,บริษัท เพาเวอร์ไลน์ เอ็นจิเนียริ่ง จำกัด (มหาชน),SET,PROPCON,CONS
535,PLT,บริษัท พีลาทัส มารีน จำกัด (มหาชน),mai,SERVICE,
536,PLUS,บริษัท โรแยล พลัส จำกัด (มหาชน),SET,AGRO,FOOD
537,PM,บริษัท พรีเมียร์ มาร์เก็ตติ้ง จำกัด (มหาชน),SET,AGRO,FOOD
538,PMC,บริษัท พีเอ็มซี เลเบิล แมททีเรียลส์ จำกัด (มหาชน),mai,INDUS,
539,PMTA,บริษัท พีเอ็ม โทรีเซน เอเชีย โฮลดิ้งส์ จำกัด (มหาชน),SET,INDUS,PETRO
540,POLAR,บริษัท โพลาริส แคปปิตัล จำกัด (มหาชน),SET,PROPCON,PROP
541,POLY,บริษัท โพลีเน็ต จำกัด (มหาชน),SET,INDUS,AUTO
542,POPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ไพร์มออฟฟิศ,SET,PROPCON,PF&REIT
543,PORT,บริษัท สหไทย เทอร์มินอล จำกัด (มหาชน),SET,SERVICE,TRANS
544,PPM,บริษัท พรพรหมเม็ททอล จำกัด (มหาชน),mai,INDUS,
545,PPP,บริษัท พรีเมียร์ โพรดักส์ จำกัด (มหาชน),SET,PROPCON,CONMAT
546,PPPM,บริษัท พีพี ไพร์ม จำกัด (มหาชน),SET,AGRO,AGRI
547,PPS,บริษัท โปรเจค แพลนนิ่ง เซอร์วิส จำกัด (มหาชน),mai,PROPCON,
548,PQS,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),SET,AGRO,FOOD
549,PR9,บริษัท โรงพยาบาลพระรามเก้า จำกัด (มหาชน),SET,SERVICE,HELTH
550,PRAKIT,บริษัท ประกิต โฮลดิ้งส์ จำกัด (มหาชน),SET,SERVICE,MEDIA
551,PRAPAT,บริษัท พีรพัฒน์ เทคโนโลยี จำกัด (มหาชน),mai,INDUS,
552,PREB,บริษัท พรีบิลท์ จำกัด (มหาชน),SET,PROPCON,CONS
553,PRECHA,บริษัท ปรีชากรุ๊ป จำกัด (มหาชน),SET,PROPCON,PROP
554,PRG,บริษัท พี อาร์ จี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
555,PRI,บริษัท พรีโม เซอร์วิส โซลูชั่น จำกัด (มหาชน),mai,PROPCON,
556,PRIME,บริษัท ไพร์ม โรด เพาเวอร์ จำกัด (มหาชน),SET,RESOURC,ENERG
557,PRIN,บริษัท ปริญสิริ จำกัด (มหาชน),SET,PROPCON,PROP
558,PRINC,บริษัท พริ้นซิเพิล แคปิตอล จำกัด (มหาชน),SET,SERVICE,HELTH
559,PRM,บริษัท พริมา มารีน จำกัด (มหาชน),SET,SERVICE,TRANS
560,PRO,บริษัท โปรเฟสชั่นแนล เวสต์ เทคโนโลยี (1999) จำกัด (มหาชน),SET,SERVICE,PROF
561,PROEN,บริษัท โปรเอ็น คอร์ป จำกัด (มหาชน),mai,TECH,
562,PROS,บริษัท พรอสเพอร์ เอ็นจิเนียริ่ง จำกัด (มหาชน),mai,PROPCON,
563,PROSPECT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ พรอสเพค โลจิสติกส์และอินดัสเทรียล,SET,PROPCON,PF&REIT
564,PROUD,บริษัท พราว เรียล เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP
565,PRTR,บริษัท พีอาร์ทีอาร์ กรุ๊ป จำกัด (มหาชน),SET,SERVICE,PROF
566,PSG,บริษัท พีเอสจี คอร์ปอเรชั่น จำกัด (มหาชน),mai,PROPCON,
567,PSH,บริษัท พฤกษา โฮลดิ้ง จำกัด (มหาชน),SET,PROPCON,PROP
568,PSL,บริษัท พรีเชียส ชิพปิ้ง จำกัด (มหาชน),SET,SERVICE,TRANS
569,PSP,บริษัท พี.เอส.พี.สเปเชียลตี้ส์ จำกัด (มหาชน),SET,INDUS,IMM
570,PSTC,บริษัท เพาเวอร์ โซลูชั่น เทคโนโลยี จำกัด (มหาชน),mai,RESOURC,
571,PT,บริษัท พรีเมียร์ เทคโนโลยี จำกัด (มหาชน),SET,TECH,ICT
572,PTC,บริษัท พรีเมียร์ แทงค์ คอร์ปอเรชั่น จำกัด (มหาชน),mai,RESOURC,
573,PTECH,บริษัท พลัส เทค อินโนเวชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA
574,PTG,บริษัท พีทีจี เอ็นเนอยี จำกัด (มหาชน),SET,RESOURC,ENERG
575,PTL,บริษัท โพลีเพล็กซ์ (ประเทศไทย) จำกัด (มหาชน),SET,INDUS,PKG
576,PTT,บริษัท ปตท. จำกัด (มหาชน),SET,RESOURC,ENERG
577,PTTEP,บริษัท ปตท.สำรวจและผลิตปิโตรเลียม จำกัด (มหาชน),SET,RESOURC,ENERG
578,PTTGC,บริษัท พีทีที โกลบอล เคมิคอล จำกัด (มหาชน),SET,INDUS,PETRO
579,PYLON,บริษัท ไพลอน จำกัด (มหาชน),SET,PROPCON,CONS
580,Q-CON,บริษัท ควอลิตี้คอนสตรัคชั่นโปรดัคส์ จำกัด (มหาชน),SET,PROPCON,CONMAT
581,QH,บริษัท ควอลิตี้เฮ้าส์ จำกัด (มหาชน),SET,PROPCON,PROP
582,QHHRREIT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า ควอลิตี้ เฮ้าส์ โฮเทล แอนด์ เรซิเดนซ์,SET,PROPCON,PF&REIT
583,QHOP,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ฮอสพิทอลลิตี้,SET,PROPCON,PF&REIT
584,QHPF,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ เฮ้าส์,SET,PROPCON,PF&REIT
585,QLT,บริษัท ควอลลีเทค จำกัด (มหาชน),mai,SERVICE,
586,QTC,บริษัท คิวทีซี เอนเนอร์ยี่ จำกัด (มหาชน),SET,INDUS,IMM
587,QTCG,บริษัท คิวทีซีจี จำกัด (มหาชน),mai,PROPCON,
588,RABBIT,บริษัท แรบบิท โฮลดิ้งส์ จำกัด (มหาชน),SET,PROPCON,PROP
589,RAM,บริษัท โรงพยาบาลรามคำแหง จำกัด (มหาชน),SET,SERVICE,HELTH
590,RATCH,บริษัท ราช กรุ๊ป จำกัด (มหาชน),SET,RESOURC,ENERG
591,RBF,บริษัท อาร์ แอนด์ บี ฟู้ด ซัพพลาย จำกัด (มหาชน),SET,AGRO,FOOD
592,RCL,บริษัท อาร์ ซี แอล จำกัด (มหาชน),SET,SERVICE,TRANS
593,READY,บริษัท เรดดี้แพลนเน็ต จำกัด (มหาชน),mai,TECH,
594,RICHY,บริษัท ริชี่ เพลซ 2002 จำกัด (มหาชน),SET,PROPCON,PROP
595,RJH,บริษัท โรงพยาบาลราชธานี จำกัด (มหาชน),SET,SERVICE,HELTH
596,RML,บริษัท ไรมอน แลนด์ จำกัด (มหาชน),SET,PROPCON,PROP
597,ROCK,บริษัท ร้อกเวิธ จำกัด (มหาชน),SET,CONSUMP,HOME
598,ROCTEC,บริษัท ร็อคเทค โกลบอล จำกัด (มหาชน),SET,TECH,ICT
599,ROH,บริษัท โรงแรมรอยัล ออคิด (ประเทศไทย) จำกัด (มหาชน),SET,SERVICE,TOURISM
600,ROJNA,บริษัท สวนอุตสาหกรรมโรจนะ จำกัด (มหาชน),SET,PROPCON,PROP
601,RP,บริษัท ท่าเรือราชาเฟอร์รี่ จำกัด (มหาชน),mai,SERVICE,
602,RPC,บริษัท อาร์พีซีจี จำกัด (มหาชน),SET,RESOURC,ENERG
603,RPH,บริษัท โรงพยาบาลราชพฤกษ์ จำกัด (มหาชน),SET,SERVICE,HELTH
604,RS,บริษัท อาร์เอส จำกัด (มหาชน),SET,SERVICE,COMM
605,RSP,บริษัท ริช สปอร์ต จำกัด (มหาชน),SET,SERVICE,COMM
606,RT,บริษัท ไร้ท์ทันเน็ลลิ่ง จำกัด (มหาชน),SET,PROPCON,CONS
607,RWI,บริษัท ระยองไวร์ อินดัสตรีส์ จำกัด (มหาชน),mai,INDUS,
608,S,บริษัท สิงห์ เอสเตท จำกัด (มหาชน),SET,PROPCON,PROP
609,S&J,บ.เอส แอนด์ เจ อินเตอร์เนชั่นแนล เอนเตอร์ไพรส์ จำกัด (มหาชน),SET,CONSUMP,PERSON
610,S11,บริษัท เอส 11 กรุ๊ป จำกัด (มหาชน),SET,FINCIAL,FIN
611,SA,บริษัท ไซมิส แอสเสท จำกัด (มหาชน),SET,PROPCON,PROP
612,SAAM,บริษัท เอสเอเอเอ็ม ดีเวลลอปเมนท์ จำกัด (มหาชน),mai,RESOURC,
613,SABINA,บริษัท ซาบีน่า จำกัด (มหาชน),SET,CONSUMP,FASHION
614,SABUY,บริษัท สบาย เทคโนโลยี จำกัด (มหาชน),SET,SERVICE,COMM
615,SAF,บริษัท เอส.เอ.เอฟ. สเปเชียล สตีล จำกัด (มหาชน),mai,INDUS,
616,SAFARI,บริษัท ซาฟารีเวิลด์ จำกัด (มหาชน),SET,REHABCO,
617,SAFE,บริษัท เซฟ เฟอร์ทิลิตี้ กรุ๊ป จำกัด (มหาชน),SET,SERVICE,HELTH
618,SAK,บริษัท ศักดิ์สยามลิสซิ่ง จำกัด (มหาชน),SET,FINCIAL,FIN
619,SALEE,บริษัท สาลี่อุตสาหกรรม จำกัด (มหาชน),mai,INDUS,
620,SAM,บริษัท สามชัย สตีล อินดัสทรี จำกัด (มหาชน),SET,INDUS,STEEL
621,SAMART,บริษัท สามารถคอร์ปอเรชั่น จำกัด (มหาชน),SET,TECH,ICT
622,SAMCO,บริษัท สัมมากร จำกัด (มหาชน),SET,PROPCON,PROP
623,SAMTEL,บริษัท สามารถเทลคอม จำกัด (มหาชน),SET,TECH,ICT
624,SANKO,บริษัท ซังโกะ ไดคาซติ้ง (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,
625,SAPPE,บริษัท เซ็ปเป้ จำกัด (มหาชน),SET,AGRO,FOOD
626,SAT,บริษัท สมบูรณ์ แอ๊ดวานซ์ เทคโนโลยี จำกัด (มหาชน),SET,INDUS,AUTO
627,SAUCE,บริษัท ไทยเทพรส จำกัด (มหาชน),SET,AGRO,FOOD
628,SAV,บริษัท สามารถ เอวิเอชั่น โซลูชั่นส์ จำกัด (มหาชน),SET,SERVICE,TRANS
629,SAWAD,บริษัท ศรีสวัสดิ์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,FINCIAL,FIN
630,SAWANG,บริษัท สว่างเอ็กซ์ปอร์ต จำกัด (มหาชน),SET,CONSUMP,FASHION
631,SBNEXT,บริษัท สบาย คอนเน็กซ์ เทค จำกัด (มหาชน),SET,CONSUMP,HOME
632,SC,บริษัท เอสซี แอสเสท คอร์ปอเรชั่น จำกัด (มหาชน),SET,PROPCON,PROP
633,SCAP,บริษัท ศรีสวัสดิ์ แคปปิตอล 1969 จำกัด (มหาชน),SET,FINCIAL,FIN
634,SCB,บริษัท เอสซีบี เอกซ์ จำกัด (มหาชน),SET,FINCIAL,BANK
635,SCC,บริษัท ปูนซิเมนต์ไทย จำกัด(มหาชน),SET,PROPCON,CONMAT
636,SCCC,บริษัท ปูนซีเมนต์นครหลวง จำกัด (มหาชน),SET,PROPCON,CONMAT
637,SCG,บริษัท ราชพัฒนา เอ็นเนอร์ยี จำกัด (มหาชน),SET,RESOURC,ENERG
638,SCGD,บริษัท เอสซีจี เดคคอร์ จำกัด (มหาชน),SET,PROPCON,CONMAT
639,SCGP,บริษัท เอสซีจี แพคเกจจิ้ง จำกัด (มหาชน),SET,INDUS,PKG
640,SCI,บริษัท เอสซีไอ อีเลคตริค จำกัด (มหาชน),SET,INDUS,IMM
641,SCL,บริษัท เอส.ซี.แอล.มอเตอร์ พาร์ท จำกัด (มหาชน),mai,INDUS,
642,SCM,บริษัท ซัคเซสมอร์ บีอิ้งค์ จำกัด (มหาชน),SET,SERVICE,COMM
643,SCN,บริษัท สแกน อินเตอร์ จำกัด (มหาชน),SET,RESOURC,ENERG
644,SCP,บริษัท ทักษิณคอนกรีต จำกัด (มหาชน),SET,PROPCON,CONMAT
645,SDC,บริษัท สามารถ ดิจิตอล จำกัด (มหาชน),SET,TECH,ICT
646,SE,บริษัท สยามอีสต์ โซลูชั่น จำกัด (มหาชน),SET,INDUS,IMM
647,SEAFCO,บริษัท ซีฟโก้ จำกัด (มหาชน),SET,PROPCON,CONS
648,SEAOIL,บริษัท ซีออยล์ จำกัด (มหาชน),SET,RESOURC,ENERG
649,SECURE,บริษัท เอ็นฟอร์ซ ซีเคียว จำกัด (มหาชน),mai,TECH,
650,SE-ED,บริษัท ซีเอ็ดยูเคชั่น จำกัด (มหาชน),SET,SERVICE,MEDIA
651,SELIC,บริษัท ซีลิค คอร์พ จำกัด (มหาชน),mai,INDUS,
652,SENA,บริษัท เสนาดีเวลลอปเม้นท์ จำกัด (มหาชน),SET,PROPCON,PROP
653,SENX,บริษัท เซ็น เอกซ์ จำกัด (มหาชน),mai,PROPCON,
654,SFLEX,บริษัท สตาร์เฟล็กซ์ จำกัด (มหาชน),SET,INDUS,PKG
655,SFT,บริษัท ชริ้งเฟล็กซ์ (ประเทศไทย) จำกัด (มหาชน),mai,INDUS,
656,SGC,บริษัท เอสจี แคปปิตอล จำกัด (มหาชน),SET,FINCIAL,FIN
657,SGF,บริษัท เอสจีเอฟ แคปปิตอล จำกัด (มหาชน),mai,FINCIAL,
658,SGP,บริษัท สยามแก๊ส แอนด์ ปิโตรเคมีคัลส์ จำกัด (มหาชน),SET,RESOURC,ENERG
659,SHANG,บริษัท แชงกรี-ลา โฮเต็ล จำกัด (มหาชน),SET,SERVICE,TOURISM
660,SHR,บริษัท เอส โฮเทล แอนด์ รีสอร์ท จำกัด (มหาชน),SET,SERVICE,TOURISM
661,SIAM,บริษัท สยามสตีลอินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,HOME
662,SICT,บริษัท ซิลิคอน คราฟท์ เทคโนโลยี จำกัด (มหาชน),mai,TECH,
663,SIMAT,บริษัท ไซแมท เทคโนโลยี จำกัด (มหาชน),mai,TECH,
664,SINGER,บริษัท ซิงเกอร์ประเทศไทย จำกัด (มหาชน),SET,SERVICE,COMM
665,SINO,บริษัท ไซโน โลจิสติกส์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,SERVICE,TRANS
666,SIRI,บริษัท แสนสิริ จำกัด (มหาชน),SET,PROPCON,PROP
667,SIRIP,กองทุนรวมอสังหาริมทรัพย์แสนสิริ ไพร์มออฟฟิศ,SET,PROPCON,PF&REIT
668,SIS,บริษัท เอสไอเอส ดิสทริบิวชั่น (ประเทศไทย) จำกัด (มหาชน),SET,TECH,ICT
669,SISB,บริษัท เอสไอเอสบี จำกัด (มหาชน),SET,SERVICE,PROF
670,SITHAI,บริษัท ศรีไทยซุปเปอร์แวร์ จำกัด (มหาชน),SET,INDUS,PKG
671,SJWD,บริษัท เอสซีจี เจดับเบิ้ลยูดี โลจิสติกส์ จำกัด (มหาชน),SET,SERVICE,TRANS
672,SK,บริษัท ศิรกร จำกัด (มหาชน),mai,PROPCON,
673,SKE,บริษัท สากล เอนเนอยี จำกัด (มหาชน),SET,RESOURC,ENERG
674,SKN,บริษัท ส.กิจชัย เอ็นเตอร์ไพรส์ จำกัด (มหาชน),SET,PROPCON,CONMAT
675,SKR,บริษัท ศิครินทร์ จำกัด (มหาชน),SET,SERVICE,HELTH
676,SKY,บริษัท สกาย ไอซีที จำกัด (มหาชน),SET,TECH,ICT
677,SLM,บริษัท เอส แอล เอ็ม คอร์ปอเรชั่น จำกัด (มหาชน),mai,SERVICE,
678,SLP,บริษัท สาลี่ พริ้นท์ติ้ง จำกัด (มหาชน),SET,INDUS,PKG
679,SM,บริษัท สตาร์ มันนี่ จำกัด (มหาชน),SET,FINCIAL,FIN
